name,rating,review_count,price,latitude,longitude,stars,michelin,latBin,lonBin
NoMad,4,1492,3,40.74497,-73.98883,1,1,40.6,-74.0
The Musket Room,4,532,4,40.723915,-73.99375,1,1,40.6,-74.0
Uncle Boons,4,1009,3,40.721203,-73.99441,1,1,40.6,-74.0
Noda,4.5,52,4,40.74497,-73.988075,1,1,40.6,-74.0
Gramercy Tavern,4.5,3060,4,40.73849,-73.98868,1,1,40.6,-74.0
The Clocktower,4,391,3,40.7414,-73.987595,1,1,40.6,-74.0
Ai Fiori,4,1349,4,40.75013,-73.98357,1,1,40.6,-74.0
Casa Mono,3.5,1312,3,40.73595,-73.98706,1,1,40.6,-74.0
Jewel Bako,3.5,538,4,40.72713,-73.98928,1,1,40.6,-74.0
The River Café,4,1189,4,40.703613,-73.994774,1,1,40.6,-74.0
Bar Uchū,4.5,86,4,40.72191,-73.99003,1,1,40.6,-74.0
Café China,4,1727,2,40.749973,-73.98228,1,1,40.6,-74.0
Kanoyama,4,691,4,40.73071,-73.98655,1,1,40.6,-74.0
Contra,4,340,4,40.719917,-73.98922,1,1,40.6,-74.0
Atomix,4.5,99,4,40.744408,-73.98292,1,1,40.6,-74.0
Kyo Ya,4.5,454,4,40.7266,-73.98526,1,1,40.6,-74.0
Kajitsu,4,276,4,40.72776,-73.98428,1,1,40.6,-74.0
Agern,4,207,4,40.75234,-73.9775,1,1,40.6,-74.0
Caviar Russe,4.5,150,4,40.760685,-73.97355,1,1,40.6,-74.0
Tuome,4.5,589,3,40.724194,-73.9828,1,1,40.6,-74.0
Tempura Matsui,4.5,1471,4,40.74839,-73.97474,1,1,40.6,-74.0
Sushi Yasuda,4,2177,4,40.75108,-73.97364,1,1,40.6,-74.0
Sushi Amane,4,83,4,40.75133,-73.971725,1,1,40.6,-74.0
Café Boulud,4,728,4,40.77439,-73.96414,1,1,40.6,-74.0
Claro,4,264,2,40.677395,-73.98615,1,1,40.6,-74.0
Satsuki,4,50,4,40.801243,-73.95187,1,1,40.800000000000004,-74.0
Sushi Noz,4.5,157,4,40.77384,-73.958275,1,1,40.6,-74.0
Sushi Inoue,4,130,4,40.810448,-73.943726,1,1,40.800000000000004,-74.0
Meadowsweet,4,442,3,40.710354,-73.96317,1,1,40.6,-74.0
Casa Enríque,4,1335,2,40.743492,-73.95425,1,1,40.6,-74.0
Peter Luger,4,6199,4,40.70986,-73.96263,1,1,40.6,-74.0
Oxomoco,4,439,3,40.730057,-73.95538,1,1,40.6,-74.0
The Finch,4,196,3,40.68704,-73.96297,1,1,40.6,-74.0
Faro,4,300,3,40.707584,-73.923035,1,1,40.6,-74.0
Blue Duck Tavern,4,2507,3,38.905373,-77.05128,1,1,38.800000000000004,-77.2
Tail Up Goat,4.5,731,3,38.9235,-77.043274,1,1,38.800000000000004,-77.2
Komi,4.5,746,4,38.910107,-77.03836,1,1,38.800000000000004,-77.2
Sushi Taro,4,1482,4,38.909992,-77.03834,1,1,38.800000000000004,-77.2
Plume,4,272,4,38.906,-77.03671,1,1,38.800000000000004,-77.2
Siren by RW,4,118,3,38.907776,-77.035446,1,1,38.800000000000004,-77.2
Bresca,4.5,360,4,38.91584,-77.0321,1,1,38.800000000000004,-77.2
The Dabney,4.5,757,4,38.906292,-77.024666,1,1,38.800000000000004,-77.2
Métier,4,71,4,38.903503,-77.0218,1,1,38.800000000000004,-77.2
Kinship,4.5,464,4,38.903282,-77.0218,1,1,38.800000000000004,-77.2
Fiola,4,772,4,38.89416,-77.02032,1,1,38.800000000000004,-77.2
Masseria,4,387,4,38.909504,-76.99908,1,1,38.800000000000004,-77.0
Rose's Luxury,4.5,2068,4,38.88064,-76.99515,1,1,38.800000000000004,-77.0
Smyth,4,232,4,41.885,-87.660736,2,1,41.800000000000004,-87.80000000000001
Oriole,4.5,326,4,41.886196,-87.64513,2,1,41.800000000000004,-87.80000000000001
Acadia,4,508,4,41.85904,-87.62562,2,1,41.800000000000004,-87.80000000000001
L'Atelier de Joël Robuchon,4.5,144,4,40.742905,-74.00769,2,1,40.6,-74.2
Jungsik,4.5,681,4,40.718685,-74.00911,2,1,40.6,-74.2
Atera,4.5,296,4,40.716797,-74.00565,2,1,40.6,-74.2
Jean-Georges,4,1930,4,40.76907,-73.98155,2,1,40.6,-74.0
Marea,4,2203,4,40.76749,-73.98114,2,1,40.6,-74.0
Gabriel Kreuther,4.5,539,4,40.75397,-73.982025,2,1,40.6,-74.0
Ichimura at Uchū,4.5,4,4,40.721832,-73.99012,2,1,40.6,-74.0
Sushi Ginza Onodera,4.5,211,4,40.752396,-73.981575,2,1,40.6,-74.0
Ko,4.5,341,4,40.72909,-73.98448,2,1,40.6,-74.0
The Modern,4.5,1051,4,40.76106,-73.97628,2,1,40.6,-74.0
Aquavit,4,803,4,40.76078,-73.97214,2,1,40.6,-74.0
Daniel,4.5,1715,4,40.7666,-73.96745,2,1,40.6,-74.0
Aska,4.5,118,4,40.71222,-73.96642,2,1,40.6,-74.0
Blanca,4,167,4,40.70492,-73.93354,2,1,40.6,-74.0
minibar,4.5,357,4,38.896294,-77.02386,2,1,38.800000000000004,-77.2
Pineapple and Pearls,4.5,367,4,38.880707,-76.99514,2,1,38.800000000000004,-77.0
Alinea,4.5,2376,4,41.91328,-87.64798,3,1,41.800000000000004,-87.80000000000001
Masa,4,364,4,40.76855,-73.98335,3,1,40.6,-74.0
Per Se,4.5,1721,4,40.76828,-73.98292,3,1,40.6,-74.0
Le Bernardin,4.5,2658,4,40.76177,-73.98223,3,1,40.6,-74.0
Eleven Madison Park,4.5,2263,4,40.7417,-73.98712,3,1,40.6,-74.0
Chef's Table at Brooklyn Fare,4.5,574,4,40.68872,-73.98581,3,1,40.6,-74.0
The Inn at Little Washington,4.5,548,4,38.713623,-78.16208,3,1,38.6,-78.2
Thursday Kitchen,4.5,1537,2,40.72761,-73.98373,0,0,40.6,-74.0
Joe's Shanghai,4.0,6637,2,40.7156608,-73.9967012,0,0,40.6,-74.0
LoveMama,4.5,5809,2,40.73040872251208,-73.98612673033213,0,0,40.6,-74.0
Rubirosa,4.5,2579,2,40.722766,-73.996233,0,0,40.6,-74.0
Da Andrea,4.5,1159,2,40.736218,-73.99597,0,0,40.6,-74.0
The Cabin NYC,4.0,402,2,40.72393,-73.98383,0,0,40.6,-74.0
