name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp url
Shin Sushi,2019.0,34.15784,-118.49415,Los Angeles,California,91436,Japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1.0,https://www.yelp.com/biz/shin-sushi-los-angeles-2?osq=shin+sushi
Rustic Canyon,2019.0,34.024952,-118.49118,Los Angeles,California,90401,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1.0,https://www.yelp.com/biz/rustic-canyon-santa-monica?osq=rustic+canyon
Kato,2019.0,34.041683,-118.460915,Los Angeles,California,90025,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1.0,https://www.yelp.com/biz/kato-los-angeles
CUT,2019.0,34.067036,-118.401024,Los Angeles,California,90212,Steakhouse,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1.0,https://www.yelp.com/biz/cut-beverly-hills-beverly-hills-3
Nozawa Bar,2019.0,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1.0,https://www.yelp.com/biz/nozawa-bar-beverly-hills-3
Maude,2019.0,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1.0,https://www.yelp.com/biz/maude-beverly-hills
Mori Sushi,2019.0,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1.0,https://www.yelp.com/biz/mori-sushi-los-angeles
Trois Mec,2019.0,34.084255,-118.33851,Los Angeles,California,90028,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1.0,https://www.yelp.com/biz/petit-trois-los-angeles-15?osq=trois+mec
Osteria Mozza,2019.0,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1.0,https://www.yelp.com/biz/osteria-mozza-los-angeles
Kali,2019.0,34.083443,-118.32455,Los Angeles,California,90028,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1.0,https://www.yelp.com/biz/kali-restaurant-los-angeles?osq=kali
Le Comptoir,2019.0,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1.0,https://www.yelp.com/biz/le-comptoir-los-angeles-3
Q Sushi,2019.0,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1.0,https://www.yelp.com/biz/q-sushi-los-angeles-4
Shibumi,2019.0,34.044155,-118.256134,Los Angeles,California,90014,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1.0,https://www.yelp.com/biz/shibumi-los-angeles
Hayato,2019.0,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1.0,https://www.yelp.com/biz/hayato-los-angeles-3
