name,rating,review_count,price,categories,city,state,zip_code,latitude,longitude,address,url
Garden_District,4,334,2,"Barbeque, German, Beer_Garden","Washington, DC",DC,20009,38.9141842,-77.0320102,"1801 14th St NW Washington, DC 20009",https://www.yelp.com/biz/garden-district-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Bandoola_Bowl,5,356,2,"Salad, Burmese","Washington, DC",DC,20007,38.9046,-77.06254,"1069 Wisconsin Ave NW Washington, DC 20007",https://www.yelp.com/biz/bandoola-bowl-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Momo's_Cafe,4,146,2,"Coffee_and_Tea, Taiwanese, Cafe","Washington, DC",DC,20007,38.91684,-77.0965,"4828 MacArthur Blvd NW Washington, DC 20007",https://www.yelp.com/biz/momos-cafe-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
District_Rico,4,291,2,Peruvian,"Washington, DC",DC,20001,38.900365,-77.011819,"91 H St NW Washington, DC 20001",https://www.yelp.com/biz/district-rico-washington-5?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The_Salt_Line,4,563,2,"Seafood, American_Traditional","Washington, DC",DC,20003,38.871328,-77.006294,"79 Potomac Ave SE Washington, DC 20003",https://www.yelp.com/biz/the-salt-line-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
City_Kabob_and_Curry_House_Washington,4.5,175,2,"Pakistani, Indian, Halal","Washington, DC",DC,20017,38.92969,-77.00428,"204 Michigan Ave NE Washington, DC 20017",https://www.yelp.com/biz/city-kabob-and-curry-house-washington-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Across_The_Pond,4.5,167,2,"American_Traditional, Pubs, Sandwiches","Washington, DC",DC,20009,38.9136787,-77.0460517,"1732 Connecticut Ave NW Washington, DC 20009",https://www.yelp.com/biz/across-the-pond-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
South_Block,4.5,111,2,"JuiceBars, Acai_Bowls, Breakfast_and_Brunch","Washington, DC",DC,20002,38.90854926,-76.99724204,"1309 5th St NE Union Market Washington, DC 20002",https://www.yelp.com/biz/south-block-washington-7?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Bistro_Aracosia,4.5,255,3,"Afghani, Wine_Bars","Washington, DC",DC,20016,38.924907,-77.101694,"5100 MacArthur Blvd Washington, DC 20016",https://www.yelp.com/biz/bistro-aracosia-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
801_Restaurant_&_Bar,4,391,2,"Bars, New_American, JuiceBars","Washington, DC",DC,20001,38.91691,-77.02307,"801 Florida Ave NW Washington, DC 20001",https://www.yelp.com/biz/801-restaurant-and-bar-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Lincoln,3.5,1152,2,"Bars, Breakfast_and_Brunch, American_Traditional","Washington, DC",DC,20005,38.90438582,-77.03300947,"1110 Vermont Ave NW Washington, DC 20005",https://www.yelp.com/biz/lincoln-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Capitol_City_Brewing_Company,3.5,1142,2,"Breweries, American_Traditional","Washington, DC",DC,20005,38.89995975,-77.02725293,"1100 New York Ave NW Washington, DC 20005",https://www.yelp.com/biz/capitol-city-brewing-company-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
La_Vie,4,811,3,"Seafood, Cocktail_Bars","Washington, DC",DC,20024,38.879939,-77.025771,"88 District Sq SW Fl 5 Washington, DC 20024",https://www.yelp.com/biz/la-vie-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Eerkin's_Uyghur_Cuisine,4.5,143,2,"Noodles, Kebab, Tea_Rooms","Washington, DC",DC,20007,38.92136,-77.07254,"2412 Wisconsin Ave NW Washington, DC 20007",https://www.yelp.com/biz/eerkins-uyghur-cuisine-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The_Pub_&_The_People,4,294,2,"New_American, Pubs","Washington, DC",DC,20002,38.91236115,-77.00930786,"1648 N Capitol St NW Washington, DC 20002",https://www.yelp.com/biz/the-pub-and-the-people-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The_Regent,4,490,2,Thai,"Washington, DC",DC,20009,38.916081,-77.041989,"1910 18th St NW Washington, DC 20009",https://www.yelp.com/biz/the-regent-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
GCDC_Grilled_Cheese_Bar,3.5,595,2,"American_Traditional, Comfort_Food","Washington, DC",DC,20006,38.89896064,-77.04033798,"1730 Pennsylvania Ave NW Washington, DC 20006",https://www.yelp.com/biz/gcdc-grilled-cheese-bar-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Supra,4,520,3,"Bars, Georgian","Washington, DC",DC,20001,38.90571,-77.02685,"1205 11th St NW Washington, DC 20001",https://www.yelp.com/biz/supra-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
La_Jambe,4.5,135,2,"Wine_Bars, Cheese, Breakfast_and_Brunch","Washington, DC",DC,20001,38.91095565,-77.02212796,"1550 7th St NW Washington, DC 20001",https://www.yelp.com/biz/la-jambe-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Ellē,4,282,2,"Cafe, Bakery, Cocktail_Bars","Washington, DC",DC,20010,38.93173,-77.03816,"3221 Mt Pleasant St NW Washington, DC 20010",https://www.yelp.com/biz/ell%C4%93-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Sichuan_Pavilion,3.5,909,2,"Szechuan, Cantonese","Washington, DC",DC,20006,38.902234,-77.042576,"1814 K St NW Washington, DC 20006",https://www.yelp.com/biz/sichuan-pavilion-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Sudhouse,4.5,211,2,"Pubs, American_Traditional, ","Washington, DC",DC,20009,38.9168208,-77.03109664,"1340 U St NW Washington, DC 20009",https://www.yelp.com/biz/sudhouse-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Nobu_Washington_D.C,3.5,389,4,"Japanese, Sushi_Bars, Asian_Fusion","Washington, DC",DC,20037,38.905394,-77.053983,"2525 M St NW Washington, DC 20037",https://www.yelp.com/biz/nobu-washington-d-c-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Federalist_Pig,4.5,661,2,"Barbeque, Sandwiches, Chicken_Wings","Washington, DC",DC,20009,38.92503,-77.03863,"1654 Columbia Rd NW Washington, DC 20009",https://www.yelp.com/biz/federalist-pig-washington-4?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Millie's_Spring_Valley,3.5,226,2,"Tacos, Seafood, Cocktail_Bars","Washington, DC",DC,20016,38.945282,-77.096097,"4866 Massachusetts Ave NW Washington, DC 20016",https://www.yelp.com/biz/millies-spring-valley-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Fare_Well,4,686,2,"Diners, Salad, Sandwiches","Washington, DC",DC,20002,38.90058717,-77.0001605,"406 H St NE Washington, DC 20002",https://www.yelp.com/biz/fare-well-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Stan's_Restaurant_&_Bar,4,476,2,"Seafood, Sandwiches","Washington, DC",DC,20005,38.90354,-77.03281,"1029 Vermont Ave NW Washington, DC 20005",https://www.yelp.com/biz/stans-restaurant-and-bar-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Fancy_Radish,4.5,321,2,"New_American, Vegan","Washington, DC",DC,20002,38.9003571,-76.996998,"600 H St NE Washington, DC 20002",https://www.yelp.com/biz/fancy-radish-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
CHIKO,4.5,339,2,"Chinese, Korean","Washington, DC",DC,20003,38.88303,-76.9952799,"423 8th St SE Washington, DC 20003",https://www.yelp.com/biz/chiko-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Froggy_Bottom_Pub,4,204,2,"Vietnamese, New_American, Pubs","Washington, DC",DC,20006,38.9027569,-77.045599,"2021 K St NW Washington, DC 20006",https://www.yelp.com/biz/froggy-bottom-pub-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Luke's_Lobster_Penn_Quarter,4,1411,2,Seafood,"Washington, DC",DC,20004,38.89590645,-77.02136145,"624 E St NW Washington, DC 20004",https://www.yelp.com/biz/lukes-lobster-penn-quarter-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
DCity_Smokehouse,4,480,2,"Barbeque, Smokehouse, Chicken_Wings","Washington, DC",DC,20001,38.91324,-77.01437,"203 Florida Ave NW Washington, DC 20001",https://www.yelp.com/biz/dcity-smokehouse-washington-4?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Surfside,4.5,44,2,"TexMex, Tacos","Washington, DC",DC,20024,38.87988693,-77.02508242,"33 District Square SW Washington, DC 20024",https://www.yelp.com/biz/surfside-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Alta_Strada_Washington,4,305,2,"Italian, Wine_Bars, Desserts","Washington, DC",DC,20001,38.90258605,-77.01790025,"465 K St NW Washington, DC 20001",https://www.yelp.com/biz/alta-strada-washington-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Paraíso_Taqueria_&_Mezcaleria,4.5,146,2,"Mexican, Breakfast_and_Brunch, Cocktail_Bars","Washington, DC",DC,20003,38.88239355,-76.99135478,"1101 Pennsylvania Ave SE Washington, DC 20003",https://www.yelp.com/biz/para%C3%ADso-taqueria-and-mezcaleria-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Bantam_King,4,845,2,"Ramen, ChickenShop","Washington, DC",DC,20001,38.89846,-77.01923,"501 G St NW Washington, DC 20001",https://www.yelp.com/biz/bantam-king-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Pantry_Thai_Bistro_and_Sushi,4.5,116,2,"Sushi_Bars, Thai","Washington, DC",DC,20010,38.93657988,-77.02467006,"3716 Georgia Ave NW Washington, DC 20010",https://www.yelp.com/biz/pantry-thai-bistro-and-sushi-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
BKK_Cookshop,4,239,2,Thai,"Washington, DC",DC,20001,38.91275,-77.01785,"1700 New Jersey Ave NW Washington, DC 20001",https://www.yelp.com/biz/bkk-cookshop-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Pappe,4,341,2,Indian,"Washington, DC",DC,20005,38.90783,-77.03162,"1317 14th St NW Washington, DC 20005",https://www.yelp.com/biz/pappe-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Atxondo,5,41,2,"Spanish, Seafood, Cocktail_Bars","Washington, DC",DC,20011,38.947945,-77.033087,"4724 14th St NW Washington, DC 20011",https://www.yelp.com/biz/atxondo-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Cafe_Berlin,4,434,2,German,"Washington, DC",DC,20002,38.89437108,-77.00096368,"322 Massachusetts Ave NE Washington, DC 20002",https://www.yelp.com/biz/cafe-berlin-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Stoney's,3.5,464,2,"Bars, American_Traditional, Burgers","Washington, DC",DC,20005,38.90986663,-77.03330907,"1433 P St NW Washington, DC 20005",https://www.yelp.com/biz/stoneys-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Izakaya_Seki,4,430,3,"Japanese, Noodles","Washington, DC",DC,20009,38.91832,-77.02779,"1117 V St NW Washington, DC 20009",https://www.yelp.com/biz/izakaya-seki-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Brasserie_Liberte,4,233,2,"French, Brasseries","Washington, DC",DC,20007,38.906176,-77.064069,"3251 Prospect St NW Washington, DC 20007",https://www.yelp.com/biz/brasserie-liberte-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Luke's_Lobster_Farragut,4.5,214,2,Seafood,"Washington, DC",DC,20006,38.90038759,-77.03982656,"800 17th St NW Washington, DC 20006",https://www.yelp.com/biz/lukes-lobster-farragut-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
