name,year,latitude,longitude,city,region,zipCode,cuisine,price_range,url,stars
EL_Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1
Band_of_Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1
Schwa,2019,41.90888,-87.66792,Chicago,Chicago,60662,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1
Temporis,2019,41.898907,-87.66725,Chicago,Chicago,60622,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1
Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1
Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1
Dusek's_(Board_&_Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,2,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1
Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1
Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1
Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1
Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1
North_Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1
Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1
Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1
Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1
Del_Posto,2019,40.74327,-74.0077,New_York,New_York_City,10011,Italian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/del-posto,1
Le_Grill_de_Joël_Robuchon,2019,40.742897,-74.0077,New_York,New_York_City,10011,French,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-grill-de-joel-robuchon,1
L'Appart,2019,40.711903,-74.01544,New_York,New_York_City,10281,French,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-appart,1
Okuda,2019,40.743793,-74.00633,New_York,New_York_City,10011,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/okuda,1
Wallsé,2019,40.73538,-74.00814,New_York,New_York_City,10014,Austrian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/wallse,1
Jeju_Noodle_Bar,2019,40.732952,-74.00744,New_York,New_York_City,10014,Korean,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar,1
Sushi_Nakazawa,2019,40.731716,-74.00451,New_York,New_York_City,10014,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-nakazawa,1
Kosaka,2019,40.738316,-74.00137,New_York,New_York_City,10011,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kosaka,1
Bâtard,2019,40.719616,-74.00589,New_York,New_York_City,10013,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/batard,1
Hirohisa,2019,40.72452,-74.003006,New_York,New_York_City,10012,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hirohisa,1
Blue_Hill,2019,40.7321,-73.9996,New_York,New_York_City,10011,American,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill,1
ZZ's_Clam_Bar,2019,40.727646,-74.00046,New_York,New_York_City,10012,Seafood,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/zz-s-clam-bar,1
Babbo,2019,40.73233,-73.99916,New_York,New_York_City,10011,Italian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/babbo,1
Carbone,2019,40.727966,-74.00017,New_York,New_York_City,10003,Italian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone,1
Le_Coucou,2019,40.719162,-74.00001,New_York,New_York_City,10013,French,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou,1
Aldea,2019,40.73885,-73.99366,New_York,New_York_City,10011,Mediterranean,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aldea,1
Cote,2019,40.73778,-73.99375,New_York,New_York_City,10010,Korean,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cote,1
Bouley_at_Home,2019,40.74114,-73.99242,New_York,New_York_City,10011,Contemporary,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bouley-at-home,1
Gotham_Bar_and_Grill,2019,40.73417,-73.99379,New_York,New_York_City,10003,American,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gotham-bar-and-grill,1
Nix,2019,40.733166,-73.993515,New_York,New_York_City,10003,Vegetarian,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nix,1
Junoon,2019,40.74325,-73.99077,New_York,New_York_City,10010,Indian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/junoon,1
NoMad,2019,40.74497,-73.98883,New_York,New_York_City,10001,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nomad,1
The_Musket_Room,2019,40.723915,-73.99375,New_York,New_York_City,10012,Contemporary,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room,1
Uncle_Boons,2019,40.721203,-73.99441,New_York,New_York_City,10012,Thai,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/uncle-boons,1
