name,review_count,rating,price_rating,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp_url
Auberge_du_Soleil,389,4.5,4,2019,38.49199,-122.40534,San_Francisco,California,94573,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1,https://www.yelp.com/biz/auberge-du-soleil-rutherford-2?osq=auberge+du+soleil
Madrona_Manor,282,4.5,4,2019,38.60428,-122.88647,San_Francisco,California,95448,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1,https://www.yelp.com/biz/madrona-manor-healdsburg-2?osq=madrona+manor
Shin_Sushi,120,4.5,4,2019,34.15784,-118.49415,Los_Angeles,California,91436,Japanese,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1,https://www.yelp.com/biz/shin-sushi-los-angeles-2?osq=shin+sushi
Rustic_Canyon,1374,4,3,2019,34.024952,-118.49118,Los_Angeles,California,90401,Californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1,https://www.yelp.com/biz/rustic-canyon-santa-monica?osq=rustic+canyon
Kato,383,4.5,4,2019,34.041683,-118.460915,Los_Angeles,California,90025,Asian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1,https://www.yelp.com/biz/kato-los-angeles
Nozawa_Bar,241,4.5,4,2019,34.0683,-118.39849,Los_Angeles,California,90210,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1,https://www.yelp.com/biz/nozawa-bar-beverly-hills-3
Maude,441,4,4,2019,34.064346,-118.39904,Los_Angeles,California,90212,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1,https://www.yelp.com/biz/maude-beverly-hills
Mori_Sushi,334,4,4,2019,34.033398,-118.44229,Los_Angeles,California,90064,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1,https://www.yelp.com/biz/mori-sushi-los-angeles
Osteria_Mozza,2975,4,4,2019,34.08342,-118.338974,Los_Angeles,California,90028,Italian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1,https://www.yelp.com/biz/osteria-mozza-los-angeles
Le_Comptoir,158,4,4,2019,34.06354,-118.30057,Los_Angeles,California,90020,Californian,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1,https://www.yelp.com/biz/le-comptoir-los-angeles-3
Q_Sushi,249,4,4,2019,34.046883,-118.255844,Los_Angeles,California,90017,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1,https://www.yelp.com/biz/q-sushi-los-angeles-4
Shibumi,366,3.5,4,2019,34.044155,-118.256134,Los_Angeles,California,90014,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1,https://www.yelp.com/biz/shibumi-los-angeles
